corpo;peito;garupa;espadua;garuComp;dorsoLombo;alturaCernelha;relacaoDorsoGarupa
1.45;0.3;1.41;0.46;0.47;0.47;1.39;1.0
1.44;0.34;1.44;0.58;0.42;0.52;1.43;1.24
1.42;0.34;1.39;0.46;0.45;0.5;1.34;1.11
1.44;0.35;1.43;0.46;0.42;0.4;1.31;0.95
1.46;0.33;1.43;0.54;0.42;0.53;1.41;1.26
1.5;0.36;1.5;0.55;0.49;0.6;1.49;1.22
1.51;0.38;1.45;0.62;0.5;0.67;1.43;1.34
1.44;0.3;1.43;0.47;0.45;0.52;1.34;1.16
1.42;0.36;1.38;0.57;0.45;0.63;1.4;1.4
1.41;0.34;1.4;0.45;0.43;0.5;1.32;1.16
1.45;0.34;1.43;0.46;0.44;0.55;1.33;1.25
1.52;0.36;1.52;0.57;0.42;0.51;1.5;1.21
1.44;0.31;1.41;0.55;0.45;0.56;1.4;1.24
1.39;0.29;1.38;0.45;0.42;0.51;1.36;1.21
1.38;0.31;1.38;0.44;0.4;0.51;1.36;1.27
1.42;0.33;1.41;0.53;0.41;0.58;1.39;1.41
1.4;0.33;1.39;0.44;0.44;0.53;1.38;1.2
1.44;0.32;1.42;0.61;0.53;0.58;1.41;1.09
1.36;0.32;1.35;0.43;0.42;0.56;1.35;1.33
1.39;0.26;1.35;0.46;0.44;0.46;1.35;1.05
1.41;0.3;1.35;0.44;0.43;0.52;1.36;1.21
1.38;0.26;1.37;0.43;0.43;0.52;1.35;1.21
1.46;0.35;1.39;0.5;0.37;0.56;1.36;1.51
1.41;0.3;1.45;0.49;0.46;0.57;1.45;1.24
1.47;0.34;1.48;0.54;0.42;0.53;1.45;1.26
1.55;0.4;1.44;0.51;0.54;0.6;1.43;1.111111111
1.46;0.33;1.4;0.57;0.43;0.53;1.38;1.23
1.42;0.32;1.37;0.57;0.42;0.56;1.36;1.33
1.39;0.31;1.39;0.54;0.45;0.63;1.36;1.4
1.39;0.32;1.39;0.53;0.41;0.5;1.38;1.22
1.4;0.36;1.41;0.47;0.43;0.6;1.38;1.4
1.38;0.27;1.37;0.44;0.44;0.5;1.37;1.14
1.41;0.3;1.45;0.49;0.46;0.57;1.45;1.24
1.43;0.3;1.41;0.55;0.46;0.55;1.39;1.2
1.5;0.38;1.41;0.48;0.47;0.54;1.4;1.15
1.43;0.37;1.4;0.53;0.44;0.59;1.41;1.34
1.4;0.31;1.37;0.47;0.39;0.49;1.35;1.26
1.45;0.33;1.36;0.45;0.45;0.51;1.35;1.13
1.47;0.39;1.44;0.59;0.5;0.7;1.44;1.4
1.44;0.36;1.43;0.53;0.42;0.54;1.41;1.29
1.45;0.36;1.44;0.47;0.45;0.46;1.32;1.02
1.43;0.35;1.42;0.55;0.46;0.58;1.4;1.26
1.44;0.37;1.44;0.49;0.48;0.41;1.32;0.85
1.35;0.31;1.33;0.51;0.45;0.5;1.31;1.11
1.42;0.32;1.41;0.55;0.47;0.65;1.38;1.38
1.36;0.28;1.38;0.45;0.42;0.5;1.36;1.19
1.49;0.36;1.42;0.5;0.52;0.55;1.41;1.06
1.38;0.26;1.37;0.43;0.43;0.52;1.35;1.21
1.48;0.34;1.46;0.6;0.5;0.64;1.45;1.28
1.42;0.32;1.44;0.5;0.42;0.5;1.41;1.19
1.45;0.36;1.42;0.56;0.45;0.65;1.41;1.44
1.41;0.32;1.4;0.54;0.4;0.56;1.38;1.4
1.44;0.35;1.37;0.58;0.47;0.57;1.36;1.21
1.34;0.34;1.37;0.43;0.44;0.46;1.36;1.05
1.49;0.39;1.41;0.61;0.44;0.73;1.4;1.66
1.46;0.37;1.44;0.57;0.49;0.65;1.41;1.33
1.51;0.22;1.4;0.45;0.45;0.47;1.38;1.04
1.49;0.35;1.46;0.44;0.49;0.6;1.45;1.22
1.47;0.33;1.42;0.49;0.45;0.53;1.33;1.18
1.3;0.29;1.35;0.45;0.43;0.55;1.35;1.28
1.37;0.28;1.34;0.43;0.42;0.49;1.35;1.17
1.43;0.28;1.37;0.46;0.43;0.44;1.37;1.02
1.38;0.28;1.37;0.46;0.44;0.5;1.35;1.14
1.42;0.29;1.36;0.42;0.43;0.5;1.35;1.16
1.4;0.33;1.35;0.45;0.5;0.42;1.35;0.84
1.45;0.39;1.45;0.48;0.46;0.68;1.43;1.48
1.4;0.21;1.35;0.4;0.4;0.4;1.35;1.0
1.45;0.34;1.42;0.59;0.48;0.64;1.4;1.33
1.41;0.32;1.42;0.54;0.4;0.53;1.4;1.32
1.46;0.37;1.44;0.56;0.43;0.52;1.43;1.21
1.43;0.33;1.38;0.47;0.47;0.43;1.38;0.91
1.37;0.3;1.39;0.48;0.41;0.52;1.37;1.27
1.41;0.32;1.42;0.46;0.43;0.5;1.39;1.16
1.35;0.3;1.37;0.45;0.47;0.48;1.35;1.02
